,Haustyp,Angebotstyp,Wohnflaeche__m²_,Zimmer,plz,Verkaeufer,Baujahr,Preis,Grundstuecksflaeche__m²_,Provision,ExactPreis,Garten/_mitnutzung,Badewanne,Heizungsart,Dusche,Garage/Stellplatz,Keller,Moebliert/Teilmoebliert,Gaeste_WC,Terrasse,Aktuell_vermietet,Einbaukueche,Balkon,Barrierefrei,Einliegerwohnung,Dachboden,Nebenkosten__in_€_,Kaution__in_€_,Haustiere_erlaubt,Warmmiete__in_€_,Heizkosten__in_€_,WG_geeignet,Denkmalobjekt,Preis_pro_m2
27,bauernhaus,Angebot,120,6,67823,privat,1870.0,124248.44855698457,950.0,nein,100000.0,1,1,oelheizung,1,1,1,0,1,0,0,1,0,0,0,1,,,0,,,0,0,1035.4037379748713
28,mehrfamilienhaus,Angebot,160,7,67112,gewerblich,1966.0,9832.917648216975,250.0,ja,295000.0,1,1,zentralheizung,1,1,1,0,0,1,0,1,1,0,0,0,,,0,,,0,0,61.45573530135609
29,einfamilienhaus,Angebot,160,5,41849,gewerblich,1982.0,-6121.304737102579,1067.0,ja,325000.0,0,1,zentralheizung,1,1,0,0,1,1,0,0,1,0,0,0,,,0,,,0,0,-38.25815460689112
30,einfamilienhaus,Angebot,160,5,46286,gewerblich,2003.0,113588.61423789043,479.0,ja,439000.0,1,1,gasheizung,1,1,1,0,1,1,0,1,0,0,0,1,,,0,,,0,0,709.9288389868152
31,andere,Angebot,160,8,58675,gewerblich,1771.0,70860.52171507491,4156.0,ja,165000.0,1,1,ofenheizung,1,1,1,0,0,0,0,0,0,0,1,0,,,0,,,0,0,442.8782607192182
32,einfamilienhaus,Angebot,160,11,52477,gewerblich,1921.0,67569.87400868052,314.0,ja,290000.0,0,0,zentralheizung,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,422.31171255425323
33,einfamilienhaus,Angebot,160,6,63695,privat,1930.0,46994.71138233978,312.0,nein,210000.0,1,1,elektroheizung,1,1,1,0,1,1,0,1,1,0,0,1,,,0,,,0,0,293.71694613962364
34,einfamilienhaus,Angebot,140,5,55487,gewerblich,1986.0,-55742.244293152864,555.0,ja,189000.0,0,0,zentralheizung,0,1,1,0,1,1,0,0,1,0,0,0,,,0,,,0,0,-398.15888780823474
35,einfamilienhaus,Angebot,120,4,99510,gewerblich,2017.0,93562.55842886168,500.0,nein,90500.0,0,1,fussbodenheizung,1,0,0,0,1,0,0,0,0,0,0,0,,,0,,,0,0,779.6879869071806
36,einfamilienhaus,Angebot,160,7,55494,gewerblich,1978.0,9832.917648216975,1629.0,ja,195000.0,1,1,zentralheizung,1,1,1,0,0,1,0,1,1,0,0,0,,,0,,,0,0,61.45573530135609
37,mehrfamilienhaus,Angebot,160,8,51515,gewerblich,1977.0,-90725.35521748246,1300.0,ja,495000.0,1,1,zentralheizung,1,1,1,0,1,1,0,1,1,0,1,0,,,0,,,0,0,-567.0334701092654
38,einfamilienhaus,Angebot,140,4,67067,gewerblich,1972.0,51675.73685204024,372.0,ja,349000.0,0,1,zentralheizung,1,1,1,0,1,1,0,0,0,0,0,0,,,0,,,0,0,369.1124060860017
39,einfamilienhaus,Angebot,160,5,55424,gewerblich,,93562.55842886168,580.0,nein,261000.0,0,1,fussbodenheizung,1,0,0,0,1,0,0,0,0,0,0,0,,,0,,,0,0,584.7659901803855
40,einfamilienhaus,Angebot,140,6,33334,privat,1938.0,160659.23413502224,995.0,nein,265000.0,1,1,zentralheizung,1,1,1,0,1,1,0,0,0,0,0,1,,,0,,,0,0,1147.5659581073016
41,einfamilienhaus,Angebot,160,5,46514,gewerblich,1993.0,58773.01274227268,942.0,ja,499000.0,0,0,zentralheizung,0,1,1,0,0,0,0,0,0,0,0,0,,,0,,,0,0,367.3313296392042
42,bauernhaus,Angebot,120,5,54568,gewerblich,1910.0,116923.17882211032,700.0,ja,69500.0,1,1,elektroheizung,0,1,1,0,1,0,0,0,0,0,0,1,,,0,,,0,0,974.359823517586
43,mehrfamilienhaus,Angebot,160,7,67663,gewerblich,1933.0,95032.78180652656,1000.0,ja,175000.0,1,1,zentralheizung,1,1,0,0,1,1,0,0,0,0,0,0,,,0,,,0,0,593.954886290791
44,bauernhaus,Angebot,100,4,66903,privat,,124184.69868289109,650.0,nein,39900.0,1,1,oelheizung,0,1,1,0,0,0,0,0,0,0,0,1,,,0,,,0,0,1241.846986828911
